Total time: 8.583711s

p[173].x: -165.998	p[173].y: 105.683	p[173].z: 133.270
p[173].vx: -1845.465	p[173].vy: 1174.873	p[173].vz: 1481.517

p[174].x: -166.679	p[174].y: -74.846	p[174].z: -130.730
p[174].vx: -1853.761	p[174].vy: -832.275	p[174].vz: -1454.055

p[175].x: -30.760	p[175].y: -87.214	p[175].z: 47.245
p[175].vx: -342.852	p[175].vy: -973.121	p[175].vz: 526.727

p[176].x: 53.886	p[176].y: -76.158	p[176].z: -237.795
p[176].vx: 599.058	p[176].vy: -846.466	p[176].vz: -2643.745

p[177].x: 56.124	p[177].y: 64.843	p[177].z: -187.298
p[177].vx: 624.034	p[177].vy: 721.023	p[177].vz: -2083.251

p[178].x: -29.154	p[178].y: 16.651	p[178].z: 82.523
p[178].vx: -325.559	p[178].vy: 186.196	p[178].vz: 921.152

p[179].x: -124.858	p[179].y: 105.995	p[179].z: -120.252
p[179].vx: -1389.166	p[179].vy: 1179.004	p[179].vz: -1337.855

p[180].x: 52.344	p[180].y: 14.470	p[180].z: -212.176
p[180].vx: 582.269	p[180].vy: 160.933	p[180].vz: -2360.066

p[181].x: -52.748	p[181].y: -104.850	p[181].z: -196.774
p[181].vx: -586.520	p[181].vy: -1165.924	p[181].vz: -2188.459

p[182].x: -59.096	p[182].y: 109.129	p[182].z: 44.058
p[182].vx: -657.940	p[182].vy: 1215.889	p[182].vz: 490.855

p[183].x: 122.134	p[183].y: 8.690	p[183].z: -68.649
p[183].vx: 1360.479	p[183].vy: 96.858	p[183].vz: -764.277

p[184].x: 80.245	p[184].y: -174.445	p[184].z: -39.935
p[184].vx: 892.461	p[184].vy: -1941.066	p[184].vz: -444.244

p[185].x: -225.634	p[185].y: -10.555	p[185].z: 84.690
p[185].vx: -2508.118	p[185].vy: -117.364	p[185].vz: 941.227

p[186].x: 7.434	p[186].y: -106.237	p[186].z: 99.944
p[186].vx: 82.645	p[186].vy: -1182.849	p[186].vz: 1112.803

p[187].x: 105.817	p[187].y: 228.569	p[187].z: 30.163
p[187].vx: 1176.444	p[187].vy: 2540.887	p[187].vz: 335.249

p[188].x: 17.576	p[188].y: -139.690	p[188].z: -23.094
p[188].vx: 195.875	p[188].vy: -1555.003	p[188].vz: -257.160

p[189].x: 208.724	p[189].y: 63.677	p[189].z: 73.147
p[189].vx: 2320.266	p[189].vy: 708.094	p[189].vz: 813.035

p[190].x: 109.632	p[190].y: 19.367	p[190].z: 135.261
p[190].vx: 1219.800	p[190].vy: 215.479	p[190].vz: 1505.325

p[191].x: 114.139	p[191].y: -155.525	p[191].z: 119.833
p[191].vx: 1269.410	p[191].vy: -1729.505	p[191].vz: 1332.229

p[192].x: -2.382	p[192].y: -0.772	p[192].z: -4.848
p[192].vx: -26.974	p[192].vy: -2.132	p[192].vz: -64.414

p[193].x: 91.568	p[193].y: 69.769	p[193].z: 246.173
p[193].vx: 1018.159	p[193].vy: 775.826	p[193].vz: 2737.091

p[194].x: -87.652	p[194].y: -218.471	p[194].z: -82.948
p[194].vx: -974.327	p[194].vy: -2429.034	p[194].vz: -922.405

