Total time: 3.116301s

p[179].x: -4.924	p[179].y: 4.592	p[179].z: -4.478
p[179].vx: -59.709	p[179].vy: 48.641	p[179].vz: -47.739

p[180].x: -4.755	p[180].y: 5.259	p[180].z: -3.393
p[180].vx: -45.492	p[180].vy: 51.661	p[180].vz: -39.874

p[181].x: 3.259	p[181].y: 3.109	p[181].z: -2.787
p[181].vx: 29.395	p[181].vy: 33.240	p[181].vz: -30.639

p[182].x: -3.463	p[182].y: 1.443	p[182].z: -4.780
p[182].vx: -37.188	p[182].vy: 11.906	p[182].vz: -42.349

p[183].x: -10.337	p[183].y: -1.984	p[183].z: -1.907
p[183].vx: -106.305	p[183].vy: -18.677	p[183].vz: -21.958

p[184].x: 1.033	p[184].y: -6.622	p[184].z: 3.881
p[184].vx: 11.545	p[184].vy: -67.452	p[184].vz: 40.390

p[185].x: 8.646	p[185].y: -5.315	p[185].z: 2.718
p[185].vx: 90.077	p[185].vy: -55.466	p[185].vz: 27.385

p[186].x: 8.966	p[186].y: -4.111	p[186].z: 4.155
p[186].vx: 95.143	p[186].vy: -46.977	p[186].vz: 49.097

p[187].x: -4.838	p[187].y: -6.966	p[187].z: 2.275
p[187].vx: -46.233	p[187].vy: -69.649	p[187].vz: 23.714

p[188].x: 5.284	p[188].y: 7.932	p[188].z: 1.692
p[188].vx: 54.045	p[188].vy: 81.386	p[188].vz: 15.649

p[189].x: -3.844	p[189].y: -6.541	p[189].z: 0.471
p[189].vx: -35.384	p[189].vy: -61.669	p[189].vz: 4.315

p[190].x: 2.840	p[190].y: 4.893	p[190].z: -5.282
p[190].vx: 28.128	p[190].vy: 45.017	p[190].vz: -51.645

p[191].x: -1.150	p[191].y: 2.430	p[191].z: -1.160
p[191].vx: -15.547	p[191].vy: 12.932	p[191].vz: -17.679

p[192].x: -0.840	p[192].y: -3.382	p[192].z: 2.506
p[192].vx: -14.434	p[192].vy: -28.962	p[192].vz: 7.884

p[193].x: -2.948	p[193].y: -0.132	p[193].z: -3.451
p[193].vx: -28.653	p[193].vy: -1.055	p[193].vz: -27.831

p[194].x: -3.672	p[194].y: 9.115	p[194].z: 5.396
p[194].vx: -37.813	p[194].vy: 96.224	p[194].vz: 57.369

p[195].x: 1.777	p[195].y: 2.560	p[195].z: -4.325
p[195].vx: 14.065	p[195].vy: 26.924	p[195].vz: -43.055

p[196].x: -3.136	p[196].y: -0.871	p[196].z: 0.179
p[196].vx: -28.951	p[196].vy: -8.864	p[196].vz: 1.674

p[197].x: -7.561	p[197].y: -6.414	p[197].z: 2.801
p[197].vx: -79.201	p[197].vy: -66.516	p[197].vz: 32.201

p[198].x: 5.085	p[198].y: -0.766	p[198].z: -7.998
p[198].vx: 54.564	p[198].vy: -6.180	p[198].vz: -83.549

