Total time: 1.625352s

p[129].x: 3.492	p[129].y: -4.716	p[129].z: -6.246
p[129].vx: 89.926	p[129].vy: -118.940	p[129].vz: -158.894

p[130].x: 5.408	p[130].y: 0.945	p[130].z: -10.057
p[130].vx: 141.491	p[130].vy: 26.912	p[130].vz: -255.561

p[131].x: -2.149	p[131].y: -0.563	p[131].z: 7.239
p[131].vx: -58.615	p[131].vy: -16.136	p[131].vz: 185.305

p[132].x: -2.235	p[132].y: -4.669	p[132].z: -5.777
p[132].vx: -51.802	p[132].vy: -118.092	p[132].vz: -143.802

p[133].x: -1.634	p[133].y: -5.271	p[133].z: 5.032
p[133].vx: -46.604	p[133].vy: -141.900	p[133].vz: 136.434

p[134].x: 2.976	p[134].y: 6.423	p[134].z: -5.372
p[134].vx: 77.611	p[134].vy: 163.463	p[134].vz: -137.234

p[135].x: 5.870	p[135].y: -5.406	p[135].z: -1.427
p[135].vx: 156.615	p[135].vy: -142.891	p[135].vz: -39.828

p[136].x: 2.021	p[136].y: -3.102	p[136].z: 0.473
p[136].vx: 52.749	p[136].vy: -77.746	p[136].vz: 11.633

p[137].x: -4.702	p[137].y: 6.404	p[137].z: 6.143
p[137].vx: -116.178	p[137].vy: 162.925	p[137].vz: 157.829

p[138].x: 7.207	p[138].y: -10.030	p[138].z: 0.137
p[138].vx: 186.857	p[138].vy: -257.920	p[138].vz: 0.319

p[139].x: 2.236	p[139].y: -8.099	p[139].z: -5.487
p[139].vx: 59.807	p[139].vy: -205.474	p[139].vz: -142.500

p[140].x: 0.075	p[140].y: 3.436	p[140].z: 0.545
p[140].vx: 6.185	p[140].vy: 88.329	p[140].vz: 11.399

p[141].x: 7.841	p[141].y: -1.938	p[141].z: 4.659
p[141].vx: 199.947	p[141].vy: -38.805	p[141].vz: 116.960

p[142].x: -7.043	p[142].y: -1.470	p[142].z: -5.078
p[142].vx: -178.711	p[142].vy: -32.186	p[142].vz: -129.392

p[143].x: 2.566	p[143].y: -0.597	p[143].z: -5.822
p[143].vx: 61.890	p[143].vy: -3.706	p[143].vz: -152.545

p[144].x: -2.969	p[144].y: -4.699	p[144].z: -0.013
p[144].vx: -76.673	p[144].vy: -118.162	p[144].vz: 0.396

p[145].x: -6.588	p[145].y: 5.679	p[145].z: -2.505
p[145].vx: -170.129	p[145].vy: 146.530	p[145].vz: -66.244

p[146].x: -2.787	p[146].y: 0.032	p[146].z: -2.593
p[146].vx: -78.778	p[146].vy: 6.027	p[146].vz: -70.886

p[147].x: -6.420	p[147].y: -5.159	p[147].z: -2.378
p[147].vx: -160.299	p[147].vy: -129.172	p[147].vz: -57.145

p[148].x: -0.640	p[148].y: 2.757	p[148].z: -1.668
p[148].vx: -30.848	p[148].vy: 80.743	p[148].vz: -60.362

p[149].x: 5.047	p[149].y: -4.125	p[149].z: -6.538
p[149].vx: 130.392	p[149].vy: -105.776	p[149].vz: -168.262

p[150].x: 1.154	p[150].y: 4.628	p[150].z: -7.539
p[150].vx: 35.256	p[150].vy: 121.117	p[150].vz: -193.288

p[151].x: 3.804	p[151].y: 9.608	p[151].z: -0.830
