Total time: 2.401930s

p[0].x: -4.227	p[0].y: 7.640	p[0].z: -0.369
p[663].vx: 74.308	p[663].vy: 4.323	p[663].vz: 87.320

p[664].x: 6.195	p[664].y: -5.859	p[664].z: 0.517
p[664].vx: 88.051	p[664].vy: -81.988	p[664].vz: 6.418

p[665].x: -1.392	p[665].y: 2.028	p[665].z: -0.431
p[665].vx: -18.324	p[665].vy: 24.854	p[665].vz: -4.926

p[666].x: 1.171	p[666].y: -3.448	p[666].z: -6.011
p[666].vx: 17.160	p[666].vy: -48.910	p[666].vz: -87.494

p[667].x: 2.703	p[667].y: -0.949	p[667].z: 0.702
p[667].vx: 43.582	p[667].vy: -7.848	p[667].vz: 0.281

p[668].x: -10.789	p[668].y: 2.475	p[668].z: 0.307
p[668].vx: -152.889	p[668].vy: 36.065	p[668].vz: 4.572

p[669].x: -6.690	p[669].y: -2.400	p[669].z: -6.487
p[669].vx: -95.645	p[669].vy: -34.200	p[669].vz: -93.355

p[670].x: 1.526	p[670].y: -2.466	p[670].z: 2.367
p[670].vx: 29.781	p[670].vy: -41.521	p[670].vz: 42.077

p[671].x: -5.168	p[671].y: -4.183	p[671].z: 1.307
p[671].vx: -72.905	p[671].vy: -61.011	p[671].vz: 19.933

p[672].x: -7.679	p[672].y: -4.224	p[672].z: -0.398
p[672].vx: -108.993	p[672].vy: -60.170	p[672].vz: -6.904

p[673].x: 4.077	p[673].y: 2.809	p[673].z: 3.036
p[673].vx: 58.490	p[673].vy: 39.483	p[673].vz: 42.653

p[674].x: -2.786	p[674].y: 2.212	p[674].z: 1.702
p[674].vx: -40.802	p[674].vy: 35.302	p[674].vz: 28.730

p[675].x: -0.016	p[675].y: -2.759	p[675].z: -0.332
p[675].vx: 3.563	p[675].vy: -21.967	p[675].vz: -7.283

p[676].x: 4.393	p[676].y: 6.632	p[676].z: -2.686
p[676].vx: 62.215	p[676].vy: 95.140	p[676].vz: -38.346

p[677].x: 5.480	p[677].y: 4.094	p[677].z: 2.553
p[677].vx: 78.195	p[677].vy: 57.712	p[677].vz: 37.136

p[678].x: -1.083	p[678].y: -0.526	p[678].z: -3.589
p[678].vx: -13.135	p[678].vy: -6.686	p[678].vz: -48.658

p[679].x: -0.021	p[679].y: -1.650	p[679].z: -9.356
p[679].vx: 0.866	p[679].vy: -23.310	p[679].vz: -133.758

p[680].x: -1.719	p[680].y: -3.944	p[680].z: -1.038
p[680].vx: -24.577	p[680].vy: -52.694	p[680].vz: -13.120

p[681].x: 2.443	p[681].y: 1.210	p[681].z: -0.980
p[681].vx: 35.277	p[681].vy: 24.669	p[681].vz: -25.496

p[682].x: 2.717	p[682].y: -4.534	p[682].z: 6.150
p[682].vx: 38.996	p[682].vy: -65.293	p[682].vz: 87.423

p[683].x: 3.876	p[683].y: 1.060	p[683].z: 4.196
p[683].vx: 57.851	p[683].vy: 16.497	p[683].vz: 61.732

p[684].x: 2.535	p[684].y: -3.255	p[684].z: 3.055
p[684].vx: 37.495	p[684].vy: -47.398	p[684].vz: 45.292

p[685].x: 2.999	p[685].y: 2.077	p[685].z: 3.228
p[685].vx: 43.968	p[685].vy: 30.810	p[685].vz: 47.846

p[686].x: 2.963	p[686].y: -2.533	p[686].z: 0.306
p[686].vx: 38.693	p[686].vy: -31.682	p[686].vz: 7.200

p[687].x: 5.903	p[687].y: -2.497	p[687].z: -6.174
p[687].vx: 84.722	p[687].vy: -35.794	p[687].vz: -88.164

p[688].x: -11.402	p[688].y: 4.768	p[688].z: -2.047
p[688].vx: -163.241	p[688].vy: 68.838	p[688].vz: -31.364

p[689].x: 0.542	p[689].y: 5.063	p[689].z: -4.338
p[689].vx: 7.559	p[689].vy: 72.470	p[689].vz: -64.952

p[690].x: 1.932	p[690].y: 2.036	p[690].z: -2.412
p[690].vx: 28.359	p[690].vy: 34.939	p[690].vz: -40.670

p[691].x: 2.559	p[691].y: 5.500	p[691].z: 2.198
p[691].vx: 37.265	p[691].vy: 76.659	p[691].vz: 30.434

p[692].x: -2.954	p[692].y: 3.489	p[692].z: 4.643
p[692].vx: -42.576	p[692].vy: 51.885	p[692].vz: 66.183

p[693].x: 32.716	p[693].y: -35.909	p[693].z: 63.956
p[693].vx: 468.766	p[693].vy: -513.893	p[693].vz: 912.197

p[694].x: 0.573	p[694].y: -1.178	p[694].z: -0.152
p[694].vx: -10.661	p[694].vy: -25.581	p[694].vz: -1.356

p[695].x: 1.036	p[695].y: 9.764	p[695].z: 0.021
p[695].vx: 15.925	p[695].vy: 135.960	p[695].vz: -1.341

p[696].x: -0.437	p[696].y: 6.091	p[696].z: 4.198
p[696].vx: -4.843	p[696].vy: 85.838	p[696].vz: 60.617

p[697].x: 0.056	p[697].y: -4.881	p[697].z: -7.283
p[697].vx: 2.241	p[697].vy: -70.012	p[697].vz: -104.446

p[698].x: 0.827	p[698].y: 2.223	p[698].z: -1.035
p[698].vx: 5.870	p[698].vy: 35.336	p[698].vz: -22.182

p[699].x: 1.089	p[699].y: -2.261	p[699].z: -2.066
p[699].vx: 18.631	p[699].vy: -34.997	p[699].vz: -31.063

p[700].x: 3.253	p[700].y: 1.379	p[700].z: 4.445
p[700].vx: 48.334	p[700].vy: 20.090	p[700].vz: 65.001

p[701].x: -1.127	p[701].y: 6.053	p[701].z: 5.198
p[701].vx: -15.771	p[701].vy: 86.383	p[701].vz: 74.431

p[702].x: -2.524	p[702].y: -9.557	p[702].z: -3.812
p[702].vx: -36.440	p[702].vy: -135.945	p[702].vz: -55.726

p[703].x: 3.092	p[703].y: -3.309	p[703].z: -6.030
p[703].vx: 44.370	p[703].vy: -45.533	p[703].vz: -85.760

p[704].x: -3.531	p[704].y: 0.932	p[704].z: -0.016
p[704].vx: -48.453	p[704].vy: 16.393	p[704].vz: 0.477

p[705].x: 1.973	p[705].y: 3.822	p[705].z: 0.472
p[705].vx: 28.084	p[705].vy: 52.066	p[705].vz: 6.021

p[706].x: 5.093	p[706].y: 4.262	p[706].z: 0.700
p[706].vx: 75.137	p[706].vy: 61.457	p[706].vz: 10.190

p[707].x: 0.141	p[707].y: -6.159	p[707].z: -6.813
p[707].vx: 3.540	p[707].vy: -86.342	p[707].vz: -97.223

p[708].x: 1.866	p[708].y: -1.937	p[708].z: 3.077
p[708].vx: 29.604	p[708].vy: -37.019	p[708].vz: 49.526

p[709].x: 4.568	p[709].y: 2.863	p[709].z: 2.039
p[709].vx: 66.733	p[709].vy: 40.123	p[709].vz: 30.195

p[710].x: 3.036	p[710].y: -2.956	p[710].z: 1.360
p[710].vx: 44.096	p[710].vy: -43.480	p[710].vz: 19.632

p[711].x: 9.991	p[711].y: 1.331	p[711].z: -0.646
p[711].vx: 141.122	p[711].vy: 19.568	p[711].vz: -10.183

p[712].x: 0.777	p[712].y: 0.545	p[712].z: -9.308
p[712].vx: 12.078	p[712].vy: 8.690	p[712].vz: -133.291

p[713].x: 5.423	p[713].y: 5.256	p[713].z: -0.787
p[713].vx: 79.593	p[713].vy: 74.444	p[713].vz: -11.124

p[714].x: 2.136	p[714].y: 1.437	p[714].z: -2.414
p[714].vx: 32.328	p[714].vy: 23.881	p[714].vz: -40.094

p[715].x: 5.991	p[715].y: 1.720	p[715].z: 0.138
p[715].vx: 82.477	p[715].vy: 23.702	p[715].vz: 0.709

p[716].x: 4.424	p[716].y: 0.514	p[716].z: 4.024
p[716].vx: 68.158	p[716].vy: 6.928	p[716].vz: 54.648

p[717].x: -0.831	p[717].y: 4.698	p[717].z: -4.278
p[717].vx: -10.062	p[717].vy: 65.418	p[717].vz: -61.266

p[718].x: 0.691	p[718].y: 1.759	p[718].z: -4.819
p[718].vx: 9.781	p[718].vy: 25.277	p[718].vz: -67.297

p[719].x: -3.097	p[719].y: -3.454	p[719].z: 1.452
p[719].vx: -44.512	p[719].vy: -50.031	p[719].vz: 24.936

p[720].x: -0.127	p[720].y: 2.448	p[720].z: -11.420
p[720].vx: -1.301	p[720].vy: 35.915	p[720].vz: -161.910

p[721].x: -2.344	p[721].y: 10.865	p[721].z: 3.933
p[721].vx: -34.402	p[721].vy: 155.707	p[721].vz: 58.183

p[722].x: 2.074	p[722].y: -1.433	p[722].z: -0.136
p[722].vx: 19.602	p[722].vy: -25.708	p[722].vz: -10.224

p[723].x: -9.885	p[723].y: -1.497	p[723].z: 0.203
p[723].vx: -139.761	p[723].vy: -21.459	p[723].vz: 1.456

p[724].x: -5.829	p[724].y: 4.186	p[724].z: 2.363
p[724].vx: -81.142	p[724].vy: 59.290	p[724].vz: 34.208

p[725].x: 7.810	p[725].y: 2.744	p[725].z: 0.631
p[725].vx: 96.402	p[725].vy: 31.896	p[725].vz: 16.251

p[726].x: -2.334	p[726].y: -2.287	p[726].z: 1.993
p[726].vx: -36.271	p[726].vy: -37.018	p[726].vz: 30.384

p[727].x: 10.030	p[727].y: 0.716	p[727].z: -5.220
p[727].vx: 144.017	p[727].vy: 10.289	p[727].vz: -74.649

p[728].x: -3.492	p[728].y: 3.209	p[728].z: 0.341
p[728].vx: -52.661	p[728].vy: 44.450	p[728].vz: 5.026

p[729].x: -1.267	p[729].y: 6.667	p[729].z: 2.954
p[729].vx: -17.262	p[729].vy: 95.440	p[729].vz: 42.123

p[730].x: -3.292	p[730].y: 5.896	p[730].z: -3.490
p[730].vx: -46.105	p[730].vy: 82.635	p[730].vz: -49.093

p[731].x: -3.738	p[731].y: 0.270	p[731].z: -3.298
p[731].vx: -50.874	p[731].vy: 2.146	p[731].vz: -47.610

p[732].x: -2.621	p[732].y: -0.761	p[732].z: 2.398
p[732].vx: -38.993	p[732].vy: -13.628	p[732].vz: 32.518

p[733].x: -5.921	p[733].y: 2.669	p[733].z: 3.007
p[733].vx: -81.841	p[733].vy: 37.794	p[733].vz: 42.172

p[734].x: 2.716	p[734].y: 2.518	p[734].z: -2.732
p[734].vx: 40.349	p[734].vy: 40.252	p[734].vz: -38.222

p[735].x: -1.977	p[735].y: -0.938	p[735].z: -5.861
p[735].vx: -26.127	p[735].vy: -12.767	p[735].vz: -82.708

p[736].x: -2.901	p[736].y: 2.142	p[736].z: 1.839
p[736].vx: -42.415	p[736].vy: 31.550	p[736].vz: 32.064

p[737].x: -5.045	p[737].y: -3.886	p[737].z: 1.945
p[737].vx: -70.927	p[737].vy: -57.394	p[737].vz: 27.590

p[738].x: 3.002	p[738].y: 4.749	p[738].z: 2.323
p[738].vx: 44.917	p[738].vy: 68.259	p[738].vz: 33.816

p[739].x: -4.935	p[739].y: 4.647	p[739].z: 6.554
p[739].vx: -70.405	p[739].vy: 66.959	p[739].vz: 93.536

p[740].x: -2.639	p[740].y: 0.506	p[740].z: 1.884
p[740].vx: -43.290	p[740].vy: 6.470	p[740].vz: 24.719

p[741].x: 2.432	p[741].y: 5.316	p[741].z: 8.900
p[741].vx: 34.870	p[741].vy: 49.393	p[741].vz: 95.180

p[742].x: -2.945	p[742].y: 2.669	p[742].z: 1.597
p[742].vx: -48.606	p[742].vy: 46.761	p[742].vz: 27.163

p[743].x: 2.784	p[743].y: -2.796	p[743].z: -4.087
p[743].vx: 40.242	p[743].vy: -41.448	p[743].vz: -59.413

p[744].x: 3.227	p[744].y: 5.412	p[744].z: 1.444
p[744].vx: 48.248	p[744].vy: 76.981	p[744].vz: 21.074

p[745].x: -0.768	p[745].y: 2.002	p[745].z: 4.337
p[745].vx: -9.564	p[745].vy: 28.706	p[745].vz: 60.066

p[746].x: 1.430	p[746].y: -2.961	p[746].z: 5.893
p[746].vx: 20.450	p[746].vy: -40.604	p[746].vz: 82.645

p[747].x: -0.982	p[747].y: 5.717	p[747].z: 35.634
p[747].vx: -7.332	p[747].vy: 57.117	p[747].vz: 396.131

p[748].x: -3.333	p[748].y: 2.895	p[748].z: 1.083
p[748].vx: -47.223	p[748].vy: 45.279	p[748].vz: 18.322

p[749].x: -2.240	p[749].y: -8.618	p[749].z: 1.056
p[749].vx: -31.336	p[749].vy: -120.352	p[749].vz: 12.797

p[750].x: 2.840	p[750].y: 3.539	p[750].z: -2.218
p[750].vx: 42.933	p[750].vy: 52.823	p[750].vz: -29.709

p[751].x: -2.196	p[751].y: -0.423	p[751].z: -1.769
p[751].vx: -37.272	p[751].vy: -10.824	p[751].vz: -23.860

p[752].x: -0.591	p[752].y: -10.086	p[752].z: 2.087
p[752].vx: -2.564	p[752].vy: -126.686	p[752].vz: 21.133

p[753].x: -0.358	p[753].y: 8.187	p[753].z: 5.502
p[753].vx: -5.520	p[753].vy: 117.686	p[753].vz: 78.832

p[754].x: -2.550	p[754].y: -0.537	p[754].z: -2.032
p[754].vx: -33.293	p[754].vy: -13.895	p[754].vz: -31.464

p[755].x: -4.757	p[755].y: -4.572	p[755].z: 1.269
p[755].vx: -64.217	p[755].vy: -63.473	p[755].vz: 16.388

p[756].x: 2.174	p[756].y: -2.871	p[756].z: -1.563
p[756].vx: 32.994	p[756].vy: -46.189	p[756].vz: -25.202

p[757].x: -2.213	p[757].y: 2.125	p[757].z: 1.908
p[757].vx: -36.787	p[757].vy: 30.881	p[757].vz: 30.027

p[758].x: 2.711	p[758].y: 5.822	p[758].z: 3.663
p[758].vx: 39.468	p[758].vy: 83.980	p[758].vz: 52.548

p[759].x: 4.573	p[759].y: -4.750	p[759].z: -0.132
p[759].vx: 65.861	p[759].vy: -68.038	p[759].vz: -3.723

p[760].x: -4.613	p[760].y: -7.379	p[760].z: -2.225
p[760].vx: -66.094	p[760].vy: -103.571	p[760].vz: -31.853

p[761].x: -2.734	p[761].y: 3.740	p[761].z: -4.895
p[761].vx: -40.033	p[761].vy: 55.485	p[761].vz: -70.261

p[762].x: -2.483	p[762].y: -1.759	p[762].z: -2.455
p[762].vx: -34.639	p[762].vy: -27.087	p[762].vz: -39.382

p[763].x: -0.580	p[763].y: -6.517	p[763].z: -2.124
p[763].vx: -7.764	p[763].vy: -92.931	p[763].vz: -31.557

p[764].x: -0.986	p[764].y: 0.812	p[764].z: -0.676
p[764].vx: -22.054	p[764].vy: 19.927	p[764].vz: -18.416

p[765].x: -1.439	p[765].y: -3.770	p[765].z: 5.135
p[765].vx: -19.963	p[765].vy: -55.341	p[765].vz: 72.967

p[766].x: 2.803	p[766].y: 2.200	p[766].z: -2.656
p[766].vx: 38.095	p[766].vy: 33.445	p[766].vz: -37.353

p[767].x: -8.816	p[767].y: 4.695	p[767].z: -0.125
p[767].vx: -125.965	p[767].vy: 68.037	p[767].vz: -2.550

p[768].x: -0.177	p[768].y: -4.342	p[768].z: -0.342
p[768].vx: -3.192	p[768].vy: -57.204	p[768].vz: -4.035

p[769].x: -4.702	p[769].y: 4.104	p[769].z: 5.466
p[769].vx: -67.936	p[769].vy: 59.622	p[769].vz: 75.619

p[770].x: 4.689	p[770].y: 0.810	p[770].z: -6.429
p[770].vx: 67.070	p[770].vy: 11.657	p[770].vz: -91.973

p[771].x: -2.774	p[771].y: -6.135	p[771].z: 2.574
p[771].vx: -39.158	p[771].vy: -87.133	p[771].vz: 37.690

p[772].x: -5.179	p[772].y: -1.482	p[772].z: -3.600
p[772].vx: -73.841	p[772].vy: -22.751	p[772].vz: -50.558

p[773].x: 2.796	p[773].y: -2.933	p[773].z: 2.692
p[773].vx: 47.511	p[773].vy: -48.066	p[773].vz: 44.850

p[774].x: -0.588	p[774].y: 0.331	p[774].z: -0.225
p[774].vx: -12.185	p[774].vy: 7.807	p[774].vz: -22.434

p[775].x: -3.252	p[775].y: -7.621	p[775].z: -2.255
p[775].vx: -46.266	p[775].vy: -108.991	p[775].vz: -33.457

p[776].x: 3.211	p[776].y: -4.163	p[776].z: 1.455
p[776].vx: 46.197	p[776].vy: -60.657	p[776].vz: 22.630

p[777].x: 2.223	p[777].y: -4.307	p[777].z: -5.708
p[777].vx: 29.731	p[777].vy: -61.431	p[777].vz: -82.513

p[778].x: 4.223	p[778].y: -3.671	p[778].z: 2.744
p[778].vx: 43.552	p[778].vy: -50.524	p[778].vz: 25.979

p[779].x: -6.805	p[779].y: -4.537	p[779].z: 0.381
p[779].vx: -95.806	p[779].vy: -64.075	p[779].vz: 5.925

p[780].x: 2.633	p[780].y: -4.022	p[780].z: 2.288
p[780].vx: 37.537	p[780].vy: -58.423	p[780].vz: 36.875

p[781].x: 4.278	p[781].y: 0.726	p[781].z: 6.499
p[781].vx: 59.872	p[781].vy: 10.433	p[781].vz: 91.779

p[782].x: 2.832	p[782].y: -2.488	p[782].z: -1.885
p[782].vx: 42.707	p[782].vy: -41.723	p[782].vz: -30.424

p[783].x: 3.051	p[783].y: 1.722	p[783].z: -1.933
p[783].vx: 47.198	p[783].vy: 24.303	p[783].vz: -23.724

p[784].x: 4.353	p[784].y: -0.162	p[784].z: 5.378
p[784].vx: 62.110	p[784].vy: 0.465	p[784].vz: 78.037

p[785].x: 5.112	p[785].y: -2.400	p[785].z: 1.783
p[785].vx: 77.637	p[785].vy: -44.361	p[785].vz: 28.339

p[786].x: 3.611	p[786].y: 0.911	p[786].z: 0.269
p[786].vx: 29.539	p[786].vy: -2.057	p[786].vz: -8.123

p[787].x: 1.291	p[787].y: -1.296	p[787].z: 2.941
p[787].vx: 17.633	p[787].vy: -16.089	p[787].vz: 39.105

p[788].x: 1.856	p[788].y: -0.616	p[788].z: -1.571
p[788].vx: 26.478	p[788].vy: -20.814	p[788].vz: -30.770

p[789].x: -1.635	p[789].y: 2.527	p[789].z: -5.718
p[789].vx: -22.217	p[789].vy: 27.149	p[789].vz: -70.978

p[790].x: 2.668	p[790].y: 6.495	p[790].z: 2.443
p[790].vx: 38.634	p[790].vy: 92.042	p[790].vz: 33.190

p[791].x: 1.426	p[791].y: 1.228	p[791].z: -1.641
p[791].vx: 26.194	p[791].vy: 18.881	p[791].vz: -38.378

p[792].x: -1.175	p[792].y: 0.931	p[792].z: -5.448
p[792].vx: -13.832	p[792].vy: 16.033	p[792].vz: -78.940

p[793].x: -3.152	p[793].y: -4.048	p[793].z: 3.332
p[793].vx: -46.375	p[793].vy: -60.407	p[793].vz: 49.056

p[794].x: 3.284	p[794].y: 1.207	p[794].z: 6.505
p[794].vx: 45.116	p[794].vy: 18.900	p[794].vz: 93.095

p[795].x: -2.497	p[795].y: -0.483	p[795].z: -1.714
p[795].vx: -38.628	p[795].vy: -13.370	p[795].vz: -32.757

p[796].x: -4.513	p[796].y: 5.538	p[796].z: 3.039
p[796].vx: -64.076	p[796].vy: 80.624	p[796].vz: 44.786

p[797].x: 2.331	p[797].y: 2.541	p[797].z: -2.527
p[797].vx: 35.503	p[797].vy: 36.211	p[797].vz: -35.909

p[798].x: -5.366	p[798].y: 0.429	p[798].z: -0.819
p[798].vx: -75.328	p[798].vy: 6.379	p[798].vz: -11.196

p[799].x: -0.527	p[799].y: -26.413	p[799].z: -22.796
p[799].vx: -7.086	p[799].vy: -376.468	p[799].vz: -323.676

p[800].x: -6.105	p[800].y: 3.050	p[800].z: 4.654
p[800].vx: -85.635	p[800].vy: 43.298	p[800].vz: 65.579

p[801].x: 6.289	p[801].y: 5.376	p[801].z: -2.385
p[801].vx: 89.386	p[801].vy: 76.111	p[801].vz: -35.237

p[802].x: 3.038	p[802].y: 1.268	p[802].z: -3.922
p[802].vx: 45.475	p[802].vy: 21.409	p[802].vz: -56.123

p[803].x: -1.727	p[803].y: 2.435	p[803].z: -2.761
p[803].vx: -28.501	p[803].vy: 38.144	p[803].vz: -47.183

p[804].x: 3.858	p[804].y: -3.151	p[804].z: 4.507
p[804].vx: 53.809	p[804].vy: -45.302	p[804].vz: 65.687

p[805].x: 0.416	p[805].y: 5.374	p[805].z: -4.413
p[805].vx: 1.788	p[805].vy: 56.407	p[805].vz: -57.874

p[806].x: -4.186	p[806].y: 2.629	p[806].z: 3.946
p[806].vx: -57.855	p[806].vy: 38.820	p[806].vz: 55.722

p[807].x: 3.144	p[807].y: -3.443	p[807].z: -2.592
p[807].vx: 47.058	p[807].vy: -48.140	p[807].vz: -38.639

p[808].x: -0.172	p[808].y: -3.307	p[808].z: 0.083
p[808].vx: -0.602	p[808].vy: -53.532	p[808].vz: -1.164

p[809].x: -16.435	p[809].y: 13.141	p[809].z: 2.224
p[809].vx: -233.369	p[809].vy: 187.060	p[809].vz: 30.749

p[810].x: 4.528	p[810].y: 7.279	p[810].z: -4.373
p[810].vx: 65.803	p[810].vy: 103.017	p[810].vz: -63.155

p[811].x: 1.824	p[811].y: -3.278	p[811].z: 6.945
p[811].vx: 26.908	p[811].vy: -45.503	p[811].vz: 98.138

p[812].x: 1.058	p[812].y: 0.899	p[812].z: 1.621
p[812].vx: 26.625	p[812].vy: 22.228	p[812].vz: 29.494

p[813].x: 2.795	p[813].y: 2.478	p[813].z: -2.595
p[813].vx: 44.010	p[813].vy: 32.864	p[813].vz: -38.112

p[814].x: 0.224	p[814].y: 7.223	p[814].z: -3.504
p[814].vx: 4.173	p[814].vy: 102.307	p[814].vz: -52.201

p[815].x: 3.512	p[815].y: 1.392	p[815].z: 4.835
p[815].vx: 51.900	p[815].vy: 19.027	p[815].vz: 70.257

p[816].x: -4.067	p[816].y: -4.675	p[816].z: 0.097
p[816].vx: -58.268	p[816].vy: -64.935	p[816].vz: 1.189

p[817].x: -5.692	p[817].y: -4.700	p[817].z: -3.109
p[817].vx: -80.816	p[817].vy: -67.808	p[817].vz: -44.862

p[818].x: 4.351	p[818].y: -4.748	p[818].z: 1.197
p[818].vx: 64.271	p[818].vy: -68.365	p[818].vz: 18.422

p[819].x: 2.500	p[819].y: 4.477	p[819].z: -4.580
p[819].vx: 38.429	p[819].vy: 63.806	p[819].vz: -67.696

p[820].x: -3.863	p[820].y: 0.765	p[820].z: -3.205
p[820].vx: -56.070	p[820].vy: 11.851	p[820].vz: -45.810

p[821].x: -0.384	p[821].y: -0.433	p[821].z: -2.270
p[821].vx: -3.298	p[821].vy: -0.221	p[821].vz: -35.546

p[822].x: -2.209	p[822].y: 3.981	p[822].z: -6.188
p[822].vx: -30.798	p[822].vy: 57.666	p[822].vz: -87.450

p[823].x: -3.765	p[823].y: -0.700	p[823].z: 3.439
p[823].vx: -50.954	p[823].vy: -7.618	p[823].vz: 47.751

p[824].x: -7.073	p[824].y: -0.915	p[824].z: -0.436
p[824].vx: -100.018	p[824].vy: -10.610	p[824].vz: -4.615

p[825].x: 5.159	p[825].y: 6.196	p[825].z: -0.323
p[825].vx: 74.767	p[825].vy: 86.186	p[825].vz: -6.315

p[826].x: 1.972	p[826].y: -5.920	p[826].z: -0.430
p[826].vx: 29.155	p[826].vy: -83.913	p[826].vz: -6.454

p[827].x: -1.559	p[827].y: 0.406	p[827].z: 4.444
p[827].vx: -15.893	p[827].vy: 11.168	p[827].vz: 36.922

p[828].x: -0.740	p[828].y: 2.217	p[828].z: -2.332
p[828].vx: -15.613	p[828].vy: 43.730	p[828].vz: -42.566

p[829].x: -7.678	p[829].y: -2.917	p[829].z: 0.856
p[829].vx: -108.612	p[829].vy: -41.676	p[829].vz: 9.672

p[830].x: -2.567	p[830].y: -1.888	p[830].z: 1.587
p[830].vx: -42.439	p[830].vy: -30.807	p[830].vz: 22.238

p[831].x: 4.025	p[831].y: 2.645	p[831].z: -6.877
p[831].vx: 58.858	p[831].vy: 39.503	p[831].vz: -97.704

p[832].x: 3.478	p[832].y: -2.862	p[832].z: -1.505
p[832].vx: 44.209	p[832].vy: -40.955	p[832].vz: -22.812

p[833].x: 4.579	p[833].y: 4.981	p[833].z: 2.340
p[833].vx: 63.504	p[833].vy: 72.776	p[833].vz: 34.023

p[834].x: -1.470	p[834].y: 5.945	p[834].z: 5.899
p[834].vx: -21.910	p[834].vy: 86.460	p[834].vz: 84.253

p[835].x: -4.517	p[835].y: 3.411	p[835].z: 4.167
p[835].vx: -62.587	p[835].vy: 48.242	p[835].vz: 58.666

p[836].x: 4.883	p[836].y: -7.012	p[836].z: -5.069
p[836].vx: 69.441	p[836].vy: -100.310	p[836].vz: -74.340

p[837].x: -1.659	p[837].y: -3.472	p[837].z: -1.712
p[837].vx: -25.368	p[837].vy: -49.432	p[837].vz: -24.782

p[838].x: 3.907	p[838].y: 4.708	p[838].z: -2.731
p[838].vx: 54.281	p[838].vy: 66.453	p[838].vz: -38.586

p[839].x: -2.588	p[839].y: -2.094	p[839].z: -2.376
p[839].vx: -32.592	p[839].vy: -31.621	p[839].vz: -29.952

p[840].x: 0.963	p[840].y: 3.715	p[840].z: -1.459
p[840].vx: 20.927	p[840].vy: 55.156	p[840].vz: -17.660

p[841].x: 4.413	p[841].y: 0.179	p[841].z: -4.205
p[841].vx: 61.866	p[841].vy: 2.362	p[841].vz: -59.911

p[842].x: 3.469	p[842].y: -0.722	p[842].z: -1.153
p[842].vx: 49.958	p[842].vy: -12.199	p[842].vz: -17.408

p[843].x: 2.076	p[843].y: -1.987	p[843].z: -1.428
p[843].vx: 37.429	p[843].vy: -30.174	p[843].vz: -25.055

p[844].x: -3.726	p[844].y: 6.454	p[844].z: 2.306
p[844].vx: -52.447	p[844].vy: 90.526	p[844].vz: 34.046

p[845].x: -2.050	p[845].y: -1.981	p[845].z: -0.497
p[845].vx: -26.671	p[845].vy: -32.228	p[845].vz: -11.211

p[846].x: 2.783	p[846].y: -7.842	p[846].z: -2.515
p[846].vx: 39.744	p[846].vy: -111.261	p[846].vz: -35.441

p[847].x: -1.593	p[847].y: -3.583	p[847].z: -2.754
p[847].vx: -23.158	p[847].vy: -50.221	p[847].vz: -41.121

p[848].x: 2.466	p[848].y: 17.168	p[848].z: 8.892
p[848].vx: 34.976	p[848].vy: 244.931	p[848].vz: 127.269

p[849].x: 0.351	p[849].y: 2.858	p[849].z: -6.616
p[849].vx: 6.374	p[849].vy: 40.240	p[849].vz: -96.322

p[850].x: 0.906	p[850].y: 4.554	p[850].z: -1.770
p[850].vx: 13.933	p[850].vy: 65.031	p[850].vz: -26.082

p[851].x: -3.057	p[851].y: 3.450	p[851].z: -4.852
p[851].vx: -43.639	p[851].vy: 49.503	p[851].vz: -68.877

p[852].x: -6.740	p[852].y: -0.349	p[852].z: 1.663
p[852].vx: -94.740	p[852].vy: -3.853	p[852].vz: 23.752

p[853].x: -0.245	p[853].y: -3.006	p[853].z: -1.499
p[853].vx: -1.792	p[853].vy: -38.683	p[853].vz: -19.755

p[854].x: 1.918	p[854].y: -2.330	p[854].z: 2.696
p[854].vx: 24.867	p[854].vy: -36.190	p[854].vz: 33.523

p[855].x: -2.789	p[855].y: -2.122	p[855].z: 2.521
p[855].vx: -46.459	p[855].vy: -40.016	p[855].vz: 40.946

p[856].x: 3.867	p[856].y: 0.117	p[856].z: 4.369
p[856].vx: 56.375	p[856].vy: 3.999	p[856].vz: 60.207

p[857].x: -7.922	p[857].y: -4.544	p[857].z: -1.045
p[857].vx: -112.282	p[857].vy: -64.079	p[857].vz: -13.908

p[858].x: -2.915	p[858].y: -1.432	p[858].z: 2.181
p[858].vx: -44.369	p[858].vy: -25.112	p[858].vz: 31.444

p[859].x: -3.220	p[859].y: 1.629	p[859].z: 5.377
p[859].vx: -45.624	p[859].vy: 24.258	p[859].vz: 75.736

p[860].x: -9.664	p[860].y: 2.375	p[860].z: 1.103
p[860].vx: -136.766	p[860].vy: 34.233	p[860].vz: 15.758

p[861].x: -8.377	p[861].y: -1.448	p[861].z: -3.256
p[861].vx: -119.286	p[861].vy: -21.126	p[861].vz: -47.377

p[862].x: -4.126	p[862].y: 4.339	p[862].z: -0.740
